Handle,SEO Title,SEO Description,Product Category
200-µl-lts-pipette-tips-low-retention-sterile-no-rnase-dnase-pcr-inhibitors-pyrogens,"200 µl LTS FILTER Tips, Low Retention, Sterile | Laguna Scientific","200 µl LTS FILTER Tips, Low Retention, Sterile, No RNase from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
st-45-plus-co2-incubator-45l-with-2-shelves-copy,myTemp™ Co2 Mini Digital Incubator | Laguna Scientific,myTemp™ Co2 Mini Digital Incubator from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment
1000-µl-lts-compatible-pipette-tips-low-rentention-sterile-no-rnase-dnase-pcr-inhibitors-pyrogens,"1000 µl LTS FILTER Tips, Low Retention, Sterile | Laguna Scientific","1000 µl LTS FILTER Tips, Low Retention, Sterile, No RNase from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
1-8-ml-red-screw-cap-microtubes-with-silicone-gasket-sterile-500-bag-copy,1.8 ml YELLOW Screw Cap Microtubes with silicone | Laguna Scientific,1.8 ml YELLOW Screw Cap Microtubes with silicone gasket from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
incu-shaker™-10l-with-non-slip-rubber-mat-copy,Incu-Shaker™ 20L with non-slip rubber mat | Laguna Scientific,Incu-Shaker™ 20L with non-slip rubber mat from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Blenders
200-µl-pipette-tips-no-rnase-dnase-endotoxin-pcr-inhibitors-racked-96-tips-box-10-box-cs,"200 µl Pipette Tips, No RNase, DNase, Endotoxin | Laguna Scientific","200 µl Pipette Tips, No RNase, DNase, Endotoxin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
10-µl-pipette-tips-no-rnase-dnase-endotoxin-pcr-inhibitors-racked-96-tips-box-10-box-cs-copy,"10 µl Pipette Tips, No RNase, DNase, Endotoxin | Laguna Scientific","10 µl Pipette Tips, No RNase, DNase, Endotoxin from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
reagent-reservoirs-sterile-1-bag-80-box-copy,"Reagent reservoirs, NON STERILE, 5/bag, 80/box | Laguna Scientific","Reagent reservoirs, NON STERILE, 5/bag, 80/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies
500-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case-copy,1000 ml Sterile Disposable Vacuum Filter with 0.22 | Laguna Scientific,1000 ml Sterile Disposable Vacuum Filter with 0.22 µm PES from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
250-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case-copy,500 ml Sterile Disposable Vacuum Filter with 0.22 | Laguna Scientific,500 ml Sterile Disposable Vacuum Filter with 0.22 µm PES from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
250-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case,250 ml Sterile Disposable Vacuum Filter with 0.22 | Laguna Scientific,250 ml Sterile Disposable Vacuum Filter with 0.22 µm PES from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies
lts-compatible-pipette-tips-low-rention-sterile-20-µl,"20 µl LTS FILTER Pipette Tips, Low Retention | Laguna Scientific","20 µl LTS FILTER Pipette Tips, Low Retention, Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
lts-compatible-pipette-tips-20-µl,"20 µl LTS Pipette Tips, Low Retention, Sterile | Laguna Scientific","20 µl LTS Pipette Tips, Low Retention, Sterile, No RNase from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
lts-compatible-pipette-tips-1000-µl,"1000 µl LTS Pipette Tips, Low Retention, Sterile | Laguna Scientific","1000 µl LTS Pipette Tips, Low Retention, Sterile, No RNase from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
lts-compatible-pipette-tips-200-µl,"200 µl LTS Pipette Tips, Low Retention, Sterile | Laguna Scientific","200 µl LTS Pipette Tips, Low Retention, Sterile, No RNase from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes
pcr-strip-8-tubes-with-attached-cap-120-strips-bag,PCR Strip 8-Tubes with Attached Cap 120 strips/bag | Laguna Scientific,PCR Strip 8-Tubes with Attached Cap 120 strips/bag from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
pcr-tubes-optically-clear-for-real-time-1000-bag,PCR Tubes Optically Clear for Real Time 1000/bag | Laguna Scientific,PCR Tubes Optically Clear for Real Time 1000/bag from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
pcr-strip-8-tubes-125-strips-bag,PCR Strip 8-Tubes 125 strips/bag | Laguna Scientific,"PCR Strip 8-Tubes 125 strips/bag from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
pcr-tubes-domep-cap-1000-bag,PCR Tubes domep cap 1000/bag | Laguna Scientific,"PCR Tubes domep cap 1000/bag from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
pcr-tubes-flat-cap-1000-bag,PCR Tubes Flat cap 1000/bag | Laguna Scientific,"PCR Tubes Flat cap 1000/bag from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Supplies > Test Tubes
tc-9639-thermal-cycler-with-384-well-block,TC 9639 Thermal Cycler with 384 well block | Laguna Scientific,TC 9639 Thermal Cycler with 384 well block from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Ovens
tc-9639-thermal-cycler-with-multiformat-block,TC 9639 Thermal Cycler with multiformat block | Laguna Scientific,TC 9639 Thermal Cycler with multiformat block from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Ovens
multitherm-shaker-with-heating-only,MultiTherm Shaker with heating only | Laguna Scientific,"MultiTherm Shaker with heating only from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Hot Plates
incu-shaker™-10lr-with-non-slip-rubber-mat,Incu-Shaker™ 20LR with non-slip rubber mat | Laguna Scientific,Incu-Shaker™ 20LR with non-slip rubber mat from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Blenders
incu-shaker™-10l-with-non-slip-rubber-mat,Incu-Shaker™ 10L with non-slip rubber mat | Laguna Scientific,Incu-Shaker™ 10L with non-slip rubber mat from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.,Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Blenders
four-block-digital-dry-bath,Four-Block Digital Dry Bath | Laguna Scientific,"Four-Block Digital Dry Bath from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Hot Plates
two-block-digital-dry-bath,Two-Block Digital Dry Bath | Laguna Scientific,"Two-Block Digital Dry Bath from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Hot Plates
one-block-digital-dry-bath,One-Block Digital Dry Bath | Laguna Scientific,"One-Block Digital Dry Bath from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment > Laboratory Hot Plates
bioclave™-28-autoclave,BioClave™ 28 Autoclave | Laguna Scientific,"BioClave™ 28 Autoclave from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
bioclave-18-autoclave,BioClave 18 Autoclave | Laguna Scientific,"BioClave 18 Autoclave from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
bioclave-mini,BioClave Mini | Laguna Scientific,"BioClave Mini from Laguna Scientific. Lab supplies and PPE for research, clinical, and industrial labs. Volume pricing: 866-9-LAGUNA.",Business & Industrial > Science & Laboratory > Laboratory Equipment
