Handle,Image Src,Image Position,Image Alt Text
200-µl-lts-pipette-tips-low-retention-sterile-no-rnase-dnase-pcr-inhibitors-pyrogens,https://cdn.shopify.com/s/files/1/2705/6740/products/Unipet-Tips-range.012818_a77f47d8-d7e2-4f94-9cb2-9ae2dc30aea5.jpg?v=1522715449,1,"200 µl LTS FILTER Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
st-45-plus-co2-incubator-45l-with-2-shelves-copy,https://cdn.shopify.com/s/files/1/2705/6740/products/H3551-45P-Open-WeRes.jpg?v=1699552525,1,"myTemp™ Co2 Mini Digital Incubator, includes 2 stainless steel shelves"
1000-µl-lts-compatible-pipette-tips-low-rentention-sterile-no-rnase-dnase-pcr-inhibitors-pyrogens,https://cdn.shopify.com/s/files/1/2705/6740/products/Unipet-Tips-range.012818_a77f47d8-d7e2-4f94-9cb2-9ae2dc30aea5.jpg?v=1522715449,1,"1000 µl LTS FILTER Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
1-8-ml-red-screw-cap-microtubes-with-silicone-gasket-sterile-500-bag-copy,https://cdn.shopify.com/s/files/1/2705/6740/files/2.0mlyellocap_8bd82ae4-16d6-466a-88dd-89f2ac57f70d.jpg?v=1731705500,1,"1.8 ml YELLOW Screw Cap Microtubes with silicone gasket, sterile, free of RNase, DNase and pyrogen, 500/bag"
incu-shaker™-10l-with-non-slip-rubber-mat-copy,https://cdn.shopify.com/s/files/1/2705/6740/files/H3020-H3022-600-X-600_7eaacc3d-6919-48c6-a69c-87107931eb9c.jpg?v=1731607078,1,Incu-Shaker™ 20L with non-slip rubber mat
200-µl-pipette-tips-no-rnase-dnase-endotoxin-pcr-inhibitors-racked-96-tips-box-10-box-cs,https://cdn.shopify.com/s/files/1/2705/6740/products/T200C-Rack_NSS_cb00ea09-8693-4428-9cea-7b42b750c0fe.jpg?v=1522713963,1,"200 µl Pipette Tips, No RNase, DNase, Endotoxin, PCR inhibitors, Racked, Sterile, 96 tips/box, 10 box/cs"
10-µl-pipette-tips-no-rnase-dnase-endotoxin-pcr-inhibitors-racked-96-tips-box-10-box-cs-copy,https://cdn.shopify.com/s/files/1/2705/6740/products/T200C-Rack_NSS.jpg?v=1522713270,1,"10 µl Pipette Tips, No RNase, DNase, Endotoxin, PCR inhibitors, Sterile, Racked, 96 tips/box, 10 box/cs"
reagent-reservoirs-sterile-1-bag-80-box-copy,https://cdn.shopify.com/s/files/1/2705/6740/products/reagentreservoir.jpg?v=1643827652,1,"Reagent reservoirs, NON STERILE, 5/bag, 80/box"
500-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case-copy,https://cdn.shopify.com/s/files/1/2705/6740/files/SterileDisposableVacuumFilterStorageSystemswith0.22PESMembrane.jpg?v=1730848573,1,"1000 ml Sterile Disposable Vacuum Filter with 0.22 µm PES Membrane, 12/case"
250-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case-copy,https://cdn.shopify.com/s/files/1/2705/6740/files/SterileDisposableVacuumFilterStorageSystemswith0.22PESMembrane.jpg?v=1730848573,1,"500 ml Sterile Disposable Vacuum Filter with 0.22 µm PES Membrane, 12/case"
250-ml-sterile-disposable-vacuum-filter-with-0-22-µm-pes-membrane-12-case,https://cdn.shopify.com/s/files/1/2705/6740/files/SterileDisposableVacuumFilterStorageSystemswith0.22PESMembrane_696ca2ca-1a52-4b30-96fe-257aae40e21a.jpg?v=1730848788,1,"250 ml Sterile Disposable Vacuum Filter with 0.22 µm PES Membrane, 12/case"
lts-compatible-pipette-tips-low-rention-sterile-20-µl,https://cdn.shopify.com/s/files/1/2705/6740/files/lts_tips_75932865-7798-4c43-867f-38a47c6d0b09.jpg?v=1743803721,1,"20 µl LTS FILTER Pipette Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
lts-compatible-pipette-tips-20-µl,https://cdn.shopify.com/s/files/1/2705/6740/files/lts_tips.jpg?v=1730748497,1,"20 µl LTS Pipette Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
lts-compatible-pipette-tips-1000-µl,https://cdn.shopify.com/s/files/1/2705/6740/products/Unipet-Tips-range.012818_a77f47d8-d7e2-4f94-9cb2-9ae2dc30aea5.jpg?v=1522715449,1,"1000 µl LTS Pipette Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
lts-compatible-pipette-tips-200-µl,https://cdn.shopify.com/s/files/1/2705/6740/products/Unipet-Tips-range.012818_a77f47d8-d7e2-4f94-9cb2-9ae2dc30aea5.jpg?v=1522715449,1,"200 µl LTS Pipette Tips, Low Retention, Sterile, No RNase, DNase, PCR Inhibitors, Pyrogens"
pcr-strip-8-tubes-with-attached-cap-120-strips-bag,https://cdn.shopify.com/s/files/1/2705/6740/files/8striptube_350x350_da2afdee-ec26-4576-bcb6-a0628ece0787_3.jpg?v=1729769165,1,PCR Strip 8-Tubes with Attached Cap 120 strips/bag
pcr-tubes-optically-clear-for-real-time-1000-bag,https://cdn.shopify.com/s/files/1/2705/6740/files/PCR-TUBE.only.012818_c37f4fac-6be9-4a9f-8df0-ff074c9a23e5.webp?v=1729768433,1,PCR Tubes Optically Clear for Real Time 1000/bag
pcr-strip-8-tubes-125-strips-bag,https://cdn.shopify.com/s/files/1/2705/6740/files/StripTubes-and-domedcaps-1.012818.webp?v=1729768355,1,PCR Strip 8-Tubes 125 strips/bag
pcr-tubes-domep-cap-1000-bag,https://cdn.shopify.com/s/files/1/2705/6740/files/PCR-TUBE.only.012818_1e6f6d97-33f7-4430-95a6-9759dfbe0762.webp?v=1729768127,1,PCR Tubes domep cap 1000/bag
