Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
heavy-duty-nitrile-exam-gloves-8-mil-500-case,"Heavy Duty Nitrile Exam Gloves, 8 mil, 12"" Cuff, Powder-Free, 500/case","<p>Heavy Duty 8 Mil Nitrile Exam 12"" gloves are<span> </span><span>powder free</span><span> </span>and latex free. These 8 mil<span> gloves</span><span> </span>are textured for maximum grip and extended length for better wrist protection. The added thickness of these gloves allows for improved resistance against punctures and chemicals.</p>
<p class=""title_in_descr"">Features:</p>
<ul>
<li>Premium quality.  No Latex</li>
<li>8.0 mil. Thickness</li>
<li>12"" Length</li>
<li>Meets or exceeds ASTM, FDA &amp; NFPA standards</li>
<li>ISO 9002 certified</li>
<li>Nitrile material is the best disposable option for chemical resistance</li>
<li>Extended Length, Beaded Cuff</li>
<li>Case: 10 boxes / 50 per box</li>
</ul>
<p> </p>
<p class=""title_in_descr"">Recommended For:</p>
<ul>
<li><span>Laboratory, Medical and Research</span></li>
<li><span>EMS/Fentanyl safe </span></li>
<li><span>Industrial</span></li>
<li><span>Janitorial</span></li>
<li><span>Paint and Assembly</span></li>
</ul>",laguna scientific,Business & Industrial > Medical > Medical Supplies > Disposable Gloves,simple,"gloves, nitrile, PPE",TRUE,Size,Small,,,5017S,8618.25503,shopify,50,deny,manual,78.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/ultra-high-risk-gloves.jpg?v=1726916951,1,"Heavy Duty Nitrile Exam Gloves, 8 mil, 12"" Cuff, Powder-Free, 500/case","Heavy Duty Nitrile Exam Gloves, 8 mil, 12"" Cuff | Laguna Scientific","Heavy Duty Nitrile Exam Gloves, 8 mil, 12"" Cuff from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
heavy-duty-nitrile-exam-gloves-8-mil-500-case,,,,,,,,,Medium,,,5017M,8618.25503,shopify,60,deny,manual,78.90,TRUE,TRUE,,,,,,
heavy-duty-nitrile-exam-gloves-8-mil-500-case,,,,,,,,,Large,,,5017L,8618.25503,shopify,60,deny,manual,78.90,TRUE,TRUE,,,,,,
heavy-duty-nitrile-exam-gloves-8-mil-500-case,,,,,,,,,Extra Large,,,5017XL,8618.25503,shopify,60,deny,manual,78.90,TRUE,TRUE,,,,,,
heavy-duty-nitrile-exam-gloves-8-mil-500-case,,,,,,,,,XXL,,,5017XXL,9071.8474,shopify,50,deny,manual,78.90,TRUE,TRUE,,,,,,
black-nitrile-exam-gloves-6-mil-1000-box,"Black Nitrile Exam Gloves, 6 mil, Powder-Free, 1000/box","<p data-mce-fragment=""1"">Black Nitrile is a great value with exceptional strength, durability and comfort at an economical price. These gloves are manufactured to ISO 9001 standards, so you can work with confidence and count on the quality, consistency and performance of this best-selling nitrile glove. Excellent grip and dexterity to prevent hand fatigue. Ultra-soft and provides superior comfort to wearers. Cost Effective 100 pieces packing style. Great for use in dental offices, the laboratory or similar environments.</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Size: Small to Extra large<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Thickness: 6.0 to 7.0  mil - High resistance<br>
</li>
<li data-mce-fragment=""1"">100 per Box</li>
<li data-mce-fragment=""1"">Powder Free</li>
<li data-mce-fragment=""1"">Ambidextrous with Beaded Cuff</li>
<li data-mce-fragment=""1"">Latex Free<br>
</li>
<li data-mce-fragment=""1"">Material: Nitrile</li>
<li data-mce-fragment=""1"">Color: Black</li>
</ul>
<p><br></p>
<p data-mce-fragment=""1""><span class=""markedContent"" id=""page4R_mcid65""><span role=""presentation"" dir=""ltr"">Meets ASTM D6319 (USA), FDA, and EN 455 (EEC)</span></span></p>",laguna scientific,Business & Industrial > Medical > Medical Supplies > Disposable Gloves,simple,"gloves, nitrile, PPE",TRUE,Size,Small,,,5009S,9979.03214,shopify,59,deny,manual,95.50,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/blacknitrileglove_81696d49-11a4-4de0-899f-0ffe53633b62.jpg?v=1726916064,1,"Black Nitrile Exam Gloves, 6 mil, Powder-Free, 1000/box","Black Nitrile Exam Gloves, 6 mil, Powder-Free | Laguna Scientific","Black Nitrile Exam Gloves, 6 mil, Powder-Free, 1000/box from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
black-nitrile-exam-gloves-6-mil-1000-box,,,,,,,,,Medium,,,5009M,9979.03214,shopify,59,deny,manual,95.50,TRUE,TRUE,,,,,,
black-nitrile-exam-gloves-6-mil-1000-box,,,,,,,,,Large,,,5009L,9979.03214,shopify,59,deny,manual,95.50,TRUE,TRUE,,,,,,
black-nitrile-exam-gloves-6-mil-1000-box,,,,,,,,,Extra Large,,,5009XL,9979.03214,shopify,60,deny,manual,95.50,TRUE,TRUE,,,,,,
soft-nitrile-gloves-4-mil-2000-case,"Soft Nitrile Gloves, 4 mil, Powder-Free, 2000/case (10 boxes)","<p>The Nitrile gloves do not contain natural rubber products (i.e. latex). Ideal for individuals allergic to natural rubber latex.</p>
<p>Dark Violet Blue Nitrile is a great value with exceptional strength, durability and comfort at an economical price. These gloves are manufactured to ISO 9001 standards, so you can work with confidence and count on the quality, consistency and performance of this best-selling nitrile glove. Excellent grip and dexterity to prevent hand fatigue. Ultra-soft and provides superior comfort to wearers. Cost Effective 200 pieces packing style. Great for use in dental offices, the laboratory or similar environments.</p>
<ul>
<li>Size: Small to Extra large<br>
</li>
<li>Finger Thickness: 4 mil - High resistance to oil and grease</li>
<li>200 per Box</li>
<li>Powder Free</li>
<li>Ambidextrous with Beaded Cuff</li>
<li>No rubber latex protein content</li>
<li>Material: Nitrile</li>
<li>Color: Dark Violet Blue</li>
</ul>",laguna scientific,Business & Industrial > Medical > Medical Supplies > Disposable Gloves,simple,"gloves, nitrile, PPE",TRUE,Size,Extra Small,,,5008C-XS,11339.80925,shopify,60,deny,manual,130.95,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/Nitrile3.5milsoftgloves.0422.webp?v=1726915129,1,"Soft Nitrile Gloves, 4 mil, Powder-Free, 2000/case (10 boxes)","Soft Nitrile Gloves, 4 mil, Powder-Free | Laguna Scientific","Soft Nitrile Gloves, 4 mil, Powder-Free from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
