Handle,Title,Product Category
ztest-prod2,ZTEST-PROD2,
ztest-prod1,ZTEST-PROD1,
z326-15-a7,Optional 7ml adapter for Sprint™8 Plus,
z326-15-a5,Optional 5ml adapter for Sprint™8 Plus,
t5000-a-is,T5000-A-IS,
t5000-384,T5000-384,
sb0012-t5,Optional rack for 0.5 ml microtubes,
sb0012-t1520,Optional rack for 1.5/2.0 ml microtubes,
r4045-rp2,R4045-RP2,
r4045,R4045,
r4040-rp,R4040-RP,
r4040-hz50,R4040-HZ50,
r4040-hz15,R4040-HZ15,
r4040-500,R4040-500,
r4040-1520,R4040-1520,
r4040-150,R4040-150,
ipd9600-ck,"Cryo Kit, contains bucket, gloves, goggles and tongs",
ipd9600-96a2,"Tube rack for 96 well adapter 20 x 2.0ml, pack of 2",
ipd9600-96,"Tube rack for 96 well adapter 20 x 2.0ml, pack of 2",
ipd9600-50t,"Adapter for 4x50ml tubes, set of 2",
ipd9600-50g,"Replacement gasket for IPD9600-50S, each",
ipd9600-4pc,"4ml polycarbonate vial, bag of 240, for use with 3/8” SS grinding ball",
ipd9600-3858-1,"Ceramic grinding bars 3/8X5/8, 45°, angled medium ceramic homogenizers pack of 100",
ipd9600-25bs,"25mm stainless steel grinding ball, each",Uncategorized
ipd9600-10bs,"10mm stainless steel grinding ball, each",Uncategorized
h5100-05,"Block, 35x0.5ml",
h5000-15,"Block, 35 x 1.5 ml",
h3770-h,H3770-H,
h3710-s,"Digital Magnetic Stirrer, 10x10""",Uncategorized
h3710-hs,"Digital Hotplate Stirrer, 10x10""",Uncategorized
h3710-h,"Digital Hotplate, 10x10""",Uncategorized
h3550-45-sk,Stacking kit for 45 liter incubator Quantity,
h3550-45-sh,"Additional Shelf for 45 liter incubators, 1 each",
h2505-70sh,"Extra shelf, stainless steel for H2505-70",
h2505-40,"SureTemp™ Dual Convection Incubator, 40L",
h2300-sh,"Extra Shelf, 10.5 x 8 in. Stainless steel (autoclavable)",
h2265-sh,"Extra shelf, stainless steel for H2265-HC",
h2200-sh,"Extra shelf, 10.5 x 8 in. plastic (not autoclavable)",Uncategorized
h2020,Roto-Therm™ Incubated Rotator with Tube Holders,
h1010-sh,"Shelf, 14 x 5.5"" for Petri dishes, plates, trays, etc.",
h1010-p-sp,Universal Spring Platform,
h1010-p-mp,"Platform, holds 6 standard micro plates",
h1010-mr,"MAGic Clamp™ Universal Platform 18 x 18"" (for flasks/tubes)",
h1000-p-mp,"Dedicated Platform, holds 4 standard micro plates",Uncategorized
h1000-p-500,"Dedicated Platform, 5 x 500ml Erlenmeyer flasks",
h1000-p-250,"Dedicated Platform, 8 x 250ml Erlenmeyer flasks",
h1000-p-125,"Dedicated Platform, 12 x 125ml Erlenmeyer flasks",
h1000-mr-tsr,MAGic Clamp™ tilted holder for 15mL and 50mL tube racks,
h1000-mr-t600,"MAGic Clamp™ Tube Rack, 4x500ml or 600ml conical bottles",
h1000-mr-t500h,"MAGic Clamp™ Tube Rack, 2 x 50ml tubes, horizontal",
h1000-mr-t50,"MAGic Clamp™ Tube Rack, 15 x 50ml",
h1000-mr-t150h,"MAGic Clamp™ Tube Rack, 4 x 15ml tubes, horizontal",
h1000-mr-t15,"MAGic Clamp™ Tube Rack, 32x15ml, tubes (max. 8)",
h1000-mr-t14,"MAGic Clamp™ Tube Rack, 72x14mm culture tubes",
h1000-mr-mp,"MAGic Clamp™ magnetic clamp, one microplate",
h1000-mr-cmb,"MAGic Clamp™ COMBO, for 125ml, 250ml, 500ml flasks",
h1000-mr-500,"MAGic Clamp™ magnetic clamp, 500ml Erlenmeyer",
h1000-mr-50,"MAGic Clamp™ magnetic clamp, 50ml Erlenmeyer",
h1000-mr-3000,"MAGic Clamp™ magnetic clamp, 2.8/3L Erlenmeyer",
h1000-mr-250,"MAGic Clamp™ magnetic clamp, 250ml Erlenmeyer",
h1000-mr-2000,"MAGic Clamp™ magnetic clamp, 2000ml Erlenmeyer (max. 5)",
h1000-mr-1550,"MAGic Clamp™ Tube Rack, 30 x 15ml, 20 x 50ml tubes",
h1000-mr-125,"MAGic Clamp™ Tube Rack, 30 x 15ml, 20 x 50ml tubes",
h1000-mr-1000,"MAGic Clamp™ magnetic clamp, 1000ml Erlenmeyer",
drychill™-group,DryChill™-GROUP,
dp0150-8,DP0150-8,
dp0150-6,DP0150-6,
dp0150-3,DP0150-3,
dp0150-2,DP0150-2,
dc9602,"DryChill™ Ice-free Cooling Block, 96 x 0.2ml",Uncategorized
dc4020,"DryChill™ Ice-free Cooling Block, 40 x 1.5/2.0ml",Uncategorized
dc1215,"DryChill™ Ice-free Cooling Block, 12 x 15ml",Uncategorized
dc0650,"DryChill™ Ice-free Cooling Block, 6 x 50ml",Uncategorized
d2400-r5v2,D2400-R5V2,
d2400-r,"BeadBlaster 24R Refrigerated Microtube Homogenizer, 115V",Uncategorized
d1132-group,D1132-GROUP,
d1132-01tp,D1132-01TP,
d1131-10,D1131-10,
d1131-05,D1131-05,
d1131-01,"Benchmark Scientific D1131-01 Bulk Beads, Acid Washed Silica (Glass), 0.1mm; 200g",
d1036-a5,Tube Holder for BeadBug 5ml tubes (2 x 5ml),
d1034-mx,"Prefilled 2.0ml tubes contain a mix of 0.1mm Silica, 1.4 mm diameter Zirconium & 4mm diameter Silica Beads",
d1034-28,"Prefilled 5.0mL tubes; Stainless Steel, 2.8mm acid washed beads",
d1033-30g,"Prefilled 2.0ml tubes, Garnet Shards and one 6 mm Zirconium Bead, 50pk",
d1033-28,"Stainless Steel Beads In 2.0ml Triple Pure Tubes, Acid Washed, 2.8mm Diameter (Pack of 50)",
d1032-sk,"Triple-Pure High Impact Zirconium Beads, Beads, Starter Kit, 10 each of Ø: 0.1. 0.5, 1.0, 1.5 and 3.0mm",
d1032-group,Prefilled tube kits for bead homogenizer,
d1032-60,"2.0ml tubes, 6 mm Ceria Based Zirconium Oxide",
d1032-15,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk,
d1032-10,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk,
d1032-05,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk,
d1032-01,Prefilled 2.0ml tubes Zirconium Beads 0.1mm Triple-Pure - High Impact 50pk,
d1031-rf,Reinforced tubes (empty) pack of 500 with cap and sealing ring,
d1031-10,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 1.0mm Acid Washed, 50pk",
d1031-05,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 0.5mm Acid Washed, 50pk",
d1000-st,Benchmark Scientific D1000-ST Handheld Homogenizer Stand,
d1000-m7,"D1000-M7 REPLACEMENT GENERATOR PACK, 7MM X 50MM SAW TOOTH FOR MICROTUBES, PACK OF 5",
d1000-m14,BENCHMARK SCIENTIFIC Generator Probe: 14 mm x 130 mm,
c5000-6h-pt,C5000-6H-PT Sprint 6H Portable Centrifuge,Uncategorized
c3303-1215,"Benchmark Scientific C3303-1215 12 x 15ml Fixed Angle Rotor, Sprint 6H Plus Accessory, 1 Rotor/Unit",
c3100-adp,"Adapter,For Centrifuges,PK8 C3100-adp",
c2417-r5-adp2,"COMBI-Rotor™, the MC-24 Touch will accept 24×1.5/2.0ml tubes, 2 strips of 0.2ml tubes (16×0.2ml",Uncategorized
c2417-r5,Optional 8 x 5ml rotor for MC-24 centrifuge,
c2000-dwmp,Optional rotor with carriers for deep well plates up to 35mm tall (speed: 1500rpm),
c2000-a02,Benchmark Scientific PlateFuge MicroPlate MicroCentrifuge,
c1612,"High Speed Micro Centrifuge, 12 Place Rotor",
c1008-rot2,Benchmark Scientific C1008-ROT2 Strip Rotor for MyFuge Mini,
c1008-rot,Round Rotor 8 position,
c1008-group,Mini Centrifuge with 2 rotors,
c1008-a5-6,Tube adaptors are compatible with any Benchmark Scientific microcentrifuge,
