Handle,Title
ztest-prod2,ZTEST-PROD2
ztest-prod1,ZTEST-PROD1
z326-15-a7,Optional 7ml adapter for Sprint™8 Plus
z326-15-a5,Optional 5ml adapter for Sprint™8 Plus
h6004,Incu-mixer™ MP Heated Microplate Vortexer Series
h6002,"Incu-mixer™ MP Heated Microplate Vortexer, 2 position"
h4000-s,Benchmark Magnetic Stirrer
h4000-hs,Hotplate Magnetic Stirrer
h4000-h,Benchmark Hotplate
h2265-sh,"Extra shelf, stainless steel for H2265-HC"
h2024,Roto-Therm™ Plus Incubated Rotator (variable speed) with Tube Holders
h2020,Roto-Therm™ Incubated Rotator with Tube Holders
d1134-50,"5mm Stainless Steel Beads, Bulk, 1000 Beads/Unit"
d1132-01tp,D1132-01TP
d1131-10,D1131-10
d1131-05,D1131-05
d1131-01,"Benchmark Scientific D1131-01 Bulk Beads, Acid Washed Silica (Glass), 0.1mm; 200g"
d1034-mx,"Prefilled 2.0ml tubes contain a mix of 0.1mm Silica, 1.4 mm diameter Zirconium & 4mm diameter Silica Beads"
d1034-28,"Prefilled 5.0mL tubes; Stainless Steel, 2.8mm acid washed beads"
d1033-30g,"Prefilled 2.0ml tubes, Garnet Shards and one 6 mm Zirconium Bead, 50pk"
d1033-28,"Stainless Steel Beads In 2.0ml Triple Pure Tubes, Acid Washed, 2.8mm Diameter (Pack of 50)"
d1032-sk,"Triple-Pure High Impact Zirconium Beads, Beads, Starter Kit, 10 each of Ø: 0.1. 0.5, 1.0, 1.5 and 3.0mm"
d1032-60,"2.0ml tubes, 6 mm Ceria Based Zirconium Oxide"
d1032-15,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk
d1032-10,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk
d1032-05,Prefilled 2.0ml tubes Zirconium Beads 0.5mm Triple-Pure - High Impact 50pk
d1032-01,Prefilled 2.0ml tubes Zirconium Beads 0.1mm Triple-Pure - High Impact 50pk
d1031-st25,"Benchmark Scientific Empty 2.0 mL Tubes with Caps and Sealing Rings, conical bottom, sterile, PCR clean; 500/pk"
d1031-rf,Reinforced tubes (empty) pack of 500 with cap and sealing ring
d1031-10,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 1.0mm Acid Washed, 50pk"
d1031-05,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 0.5mm Acid Washed, 50pk"
d1031-01,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 0.1mm Acid Washed, 50pk"
c2000-dwmp,Optional rotor with carriers for deep well plates up to 35mm tall (speed: 1500rpm)
c1008-rot2,Benchmark Scientific C1008-ROT2 Strip Rotor for MyFuge Mini
c1008-rot,Round Rotor 8 position
bv1010-mp02,BenchMixer XL™ Microplate Rack for 96 x 0.2ml tubes or Strips
bsh-tp1,Temperature Probe for MyBlock and IsoBlock Dry Baths
bsh200,MyBlock Mini Dry Bath
bsh100-a12,Benchmark Scientific 12v vehicle power adapter
copy-of-brasil-neoprene-latex-glove-with-terry-lining-2,NEOPRENE Latex Glove with Terry Lining  NO INVENTORY
copy-of-brasil-neoprene-latex-glove-with-terry-lining-1,NEOPRENE Latex Glove with Terry Lining
copy-of-block-24-x-12mm-max-speed-1200-rpm,"Block, 12 x 15ml (Max speed: 750 rpm)"
copy-of-block-35-x-2-0ml,"Block, 24 x 12mm (Max. speed: 1200 rpm)"
copy-of-tube-rack-12x1-5ml-horizontal-max-3,"Tube Rack, 4x15ml horizontal, max. 4"
copy-of-tube-rack-for-h1000-mr-15x50ml-max-3,"Rack for H1000-MR, 4x500/600ml bottle, max. 1"
copy-of-tube-rack-for-h1000-mr-32x15ml-max-3,"Tube Rack for H1000-MR, 15x50ml, max. 2"
copy-of-tube-rack-for-h1000-mr-30x15ml-20x50ml-max-1,"Tube Rack for H1000-MR, 32x15ml, max. 2"
copy-of-clamp-for-1-x-microplate-for-h1000-mr-max-5,"Tube Rack for H1000-MR, 30x15ml & 20x50ml, max. 1"
copy-of-flask-clamp-for-h1000-mr-500ml-max-6,"Flask clamp for H1000-MR, 1000ml max. 2"
copy-of-flask-clamp-for-h1000-mr-50ml-max-21,"Flask clamp for H1000-MR, 125ml, max.12"
copy-of-dedicated-platform-for-5-x-500ml-flasks,Optional CO2 regulator
copy-of-magic-clamp™-universal-platform-for-flasks-and-tube-racks-9-5-x-11-5,Spring platform for unique vessel types
copy-of-tube-rack-12x1-5ml-horizontal-max-2,"Angled tube rack holder, adjustable tilt (max. 1)"
copy-of-tube-rack-for-h1000-mr-15x50ml-max-2,"BENCHMARK Rack for H1000-MR, 4x500/600ml bottle, max. 1"
copy-of-incu-shaker-mini-with-flat-mat-platform,"Tube Rack for H1000-MR, 32x15ml, max. 2"
copy-of-flask-clamp-for-h1000-mr-250ml-max-8,"Flask clamp for H1000-MR, 500ml, max. 5"
copy-of-flask-clamp-for-h1000-mr-125ml-max-12,"Flask clamp for H1000-MR, 250ml, max. 8"
copy-of-flask-clamp-for-h1000-mr-25ml-max-20,"Flask clamp for H1000-MR, 50ml, max. 20"
copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-5x500-8x250-or-12x125ml,"Flask clamp for H1000-MR, 25ml, max.20"
copy-of-spring-platform-for-unique-vessel-types-1,"ADJUSTABLE flask clamp, accepts 125ml, 250ml & 500ml (max. 5x500, 8x250 or 12x125ml)"
copy-of-4-x-microplate-platform,Spring platform for unique vessel types
copy-of-incushaker-mini-shaking-incubator-with-flat-mat-platform,4 x microplate platform
copy-of-tube-rack-4x15ml-horizontal-max-8,"Tube Rack, 2x50ml horizontal, max. 8"
copy-of-tube-rack-12x1-5ml-horizontal-max-6,"Tube Rack, 4x15ml horizontal, max. 8"
copy-of-bottle-rack-for-h1000-mr-4x500-600ml-bottle-max-4,"Tube Rack, 12x1.5ml horizontal, max. 6"
copy-of-tube-rack-for-h1000-mr-15x50ml-max-8,"Bottle Rack for H1000-MR, 4x500/600ml bottle, max. 4"
copy-of-tube-rack-for-h1000-mr-32x15ml-max-8,"Tube Rack for H1000-MR, 15x50ml, max. 8"
copy-of-tube-rack-for-h1000-mr-30x15ml-20x50ml-max-4,"Tube Rack for H1000-MR, 32x15ml, max. 8"
copy-of-clamp-for-1-x-microplate-for-h1000-mr-max-6,"Tube Rack for H1000-MR, 30x15ml & 20x50ml, max. 4"
copy-of-flask-clamp-for-h1000-mr-2l-max-5,"Flask clamp for H1000-MR, 2.8L, max. 4"
copy-of-flask-clamp-for-h1000-mr-1l-max-9,"Flask clamp for H1000-MR, 2L, max. 5"
copy-of-flask-clamp-for-h1000-mr-500ml-max-16,"Flask clamp for H1000-MR, 1L, max. 9"
copy-of-flask-clamp-for-h1000-mr-250ml-max-25,"Flask clamp for H1000-MR, 500ml, max. 16"
copy-of-flask-clamp-for-h1000-mr-125ml-max-36,"Flask clamp for H1000-MR, 250ml, max. 25"
copy-of-copy-of-flask-clamp-for-h1000-mr-50ml-max-49,"Flask clamp for H1000-MR, 125ml, max. 36"
copy-of-flask-clamp-for-h1000-mr-25ml-max-49,"Flask clamp for H1000-MR, 50ml, max.49"
copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-16x500-25x250-or-36x125ml,"Flask clamp for H1000-MR, 25ml, max.49"
copy-of-optional-shelf-14-x-5-5-for-petri-dishes-microplates-etc,"ADJUSTABLE flask clamp, accepts 125ml, 250ml & 500ml (max. 16x500, 25x250 or 36x125ml)"
copy-of-6-x-microplate-platform,"Optional shelf, 14 x 5,5"" for Petri dishes, microplates, etc"
copy-of-spring-platform-for-unique-vessel-types,6 x microplate platform
copy-of-magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,Spring platform for unique vessel types
magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,MAGIc Clamp universal platform for flasks and tube racks (18 x 18 in.)
