Variant SKU,Handle,_title,Variant Price
4001S,10-µl-pipette-tips-no-rnase-dnase-endotoxin-pcr-inhibitors-racked-96-tips-box-10-box-cs-copy,"10 µl Pipette Tips, No RNase, DNase, Endotoxin, PCR inhibitors, Sterile, Racked, 96 tips/box,  10 box/cs",29.25
4001S,filter-pipette-tips-10-µl-racked-sterile-96-tips-box-10-box-cs,"10 µl Pipette Tips, No RNase, DNase, Endotoxin, PCR inhibitors, Racked, Sterile, 96 tips/box",49.25
4031-AB-FAST,pcr-plate,96-Well PCR Plates,32.0
4031-AB-FAST,96-well-pcr-plate-half-skirt-abi-fast-1,"96-Well PCR Plate, Half Skirt, ABI Fast",25.0
4031-ABIC,pcr-plate,96-Well PCR Plates,32.0
4031-ABIC,96-well-pcr-plates-full-skirt,"96-Well PCR Plate, Half Skirt, ABI compatible",22.0
4031-FS,pcr-plate,96-Well PCR Plates,32.0
4031-FS,96-well-pcr-plate-half-skirt-abi-fast,"96-Well PCR Plate, Full Skirt",25.0
4031-HS,96-well-pcr-plate-half-skirt,"96-Well PCR Plate, Half Skirt with single notch",28.0
4031-HS,pcr-plate,96-Well PCR Plates,32.0
4050-RTF,pcr-tubes-and-strips,PCR Tubes and Strips,65.0
4050-RTF,pcr-tubes-flat-top-cap-optically-clear-for-real-time-pcr-1000-bag,"PCR Tubes, Flat top cap ,Optically Clear for Real Time PCR,1000/bag",65.0
4050D,pcr-tubes-and-strips,PCR Tubes and Strips,55.0
4050D,pcr-tubes-dome-cap-1000-bag,"PCR Tubes, Dome cap, 1000/bag",55.0
4050F,pcr-tubes-flat-top-cap-1000-bag,"PCR Tubes, Flat top cap ,1000/bag",55.0
4050F,pcr-tubes-and-strips,PCR Tubes and Strips,55.0
4055HC,attached-cap-strip-pcr-tubes-120-strips-bag,"8-tube Strip PCR Tube with Attached Cap, 120 strips/bag",85.7
4055HC,pcr-tubes-and-strips,PCR Tubes and Strips,85.7
4056,8-tube-strip-pcr-tubes-120-strips-bag,"8 Tube Strip PCR Tubes, 120 strips/bag",75.7
4056,pcr-tubes-and-strips,PCR Tubes and Strips,75.7
4059,0-5-ml-microcentrifuge-tubes-1000-bag-1,0.5 ml Microcentrifuge Tubes 1000/bag,12.75
4059,microcentrifuge-tubes,Microcentrifuge Tubes,12.75
4080PS,12-x-75-mm-culture-tubes-polystyrene-500-case,12 X 75 mm Culture Tubes Polystyrene 500/case,69.75
4080PS,12-x-75-mm-polystyrene-test-tubes-1000-pk,"12 x 75 mm Polystyrene Test Tubes, 1000/pk",32.75
4207S,2-0-ml-screw-cap-microtubes-sterile-500-bag,"1.8 ml RED Screw Cap Microtubes with silicone gasket, sterile, free of RNase, DNase and pyrogen, 500/bag",38.0
4207S,1-8-ml-red-screw-cap-microtubes-with-silicone-gasket-sterile-500-bag-copy,"1.8 ml YELLOW Screw Cap Microtubes with silicone gasket, sterile, free of RNase, DNase and pyrogen, 500/bag",58.0
4538,50-ml-self-standing-conical-tubes-sterile-bulk-500-case,"50 ml Self Standing Conical Tubes, Sterile, BULK, 500/case",70.0
