Handle,_title,Variant SKU,Variant Inventory Qty
1-8-ml-red-screw-cap-microtubes-with-silicone-gasket-sterile-500-bag-copy,"1.8 ml YELLOW Screw Cap Microtubes with silicone gasket, sterile, free of RNase, DNase and pyrogen, 500/bag",4207S,0
pcr-tubes-optically-clear-for-real-time-1000-bag,PCR Tubes Optically Clear for Real Time 1000/bag,,0
pcr-strip-8-tubes-125-strips-bag,PCR Strip 8-Tubes 125 strips/bag,,0
pcr-tubes-domep-cap-1000-bag,PCR Tubes domep cap 1000/bag,,0
pcr-tubes-flat-cap-1000-bag,PCR Tubes Flat cap 1000/bag,,0
tc-9639-thermal-cycler-with-384-well-block,TC 9639 Thermal Cycler with 384 well block,,0
tc-9639-thermal-cycler-with-multiformat-block,TC 9639 Thermal Cycler with multiformat block,,0
four-block-digital-dry-bath,Four-Block Digital Dry Bath,,0
two-block-digital-dry-bath,Two-Block Digital Dry Bath,,0
bioclave™-28-autoclave,BioClave™ 28 Autoclave,,0
bioclave-mini,BioClave Mini,,0
smart-glow-ld-loading-dye-1-ml,Smart Glow LD (Loading Dye) 1 ml,,0
75cm-culture-flask-vent-cap-100-case,75cm² Culture Flask - Vent Cap 100/case,4616,0
25cm-culture-flask-vent-cap-200-case,25cm² Culture Flask - Vent Cap 200/case,4615,0
nitrile-gloves-powder-free-4-0-mil-medium-1000-case,"Nitrile Gloves, Powder Free, 4.0 mil, Medium, 1000/case",5008M,-33
autoclaves,BioClave Research Autoclaves,B4000-M,-2
50-ml-conical-centrifuge-tubes-bulk-sterile-500-cs,"50 ml Conical Centrifuge Tubes, Bulk, Sterile, 500/cs",4539B,0
dispenser-syringe-tips-for-repeater-pipette-100-pk-available-from-0-5-to-50-ml-each-tip-capacity,"Dispenser Syringe Tips for repeater Pipette, 100/pk; Available from 0.5 to 50 ml Each Tip capacity",6821 to 6826,0
